[23:07:13]  COMMAND	POST 	 "/wd/hub/session"
[23:07:13]  DATA		{"desiredCapabilities":{"javascriptEnabled":true,"locationContextEnabled":true,"handlesAlerts":true,"rotatable":true,"browserName":"firefox","loggingPrefs":{"browser":"ALL","driver":"ALL"},"requestOrigins":{"url":"http://webdriver.io","version":"4.14.1","name":"webdriverio"}}}
[23:07:18]  INFO	SET SESSION ID 597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc
[23:07:18]  RESULT		{"acceptInsecureCerts":false,"browserName":"firefox","browserVersion":"63.0.3","moz:accessibilityChecks":false,"moz:geckodriverVersion":"0.23.0","moz:headless":false,"moz:processID":12787,"moz:profile":"/tmp/rust_mozprofile.Nvtl3Tq0SGTx","moz:useNonSpecCompliantPointerOrigin":false,"moz:webdriverClick":true,"pageLoadStrategy":"normal","platformName":"linux","platformVersion":"4.15.0-39-generic","rotatable":false,"setWindowRect":true,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webdriver.remote.sessionid":"597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc"}
[23:07:18]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/url"
[23:07:18]  DATA		{"url":"http://the-internet.herokuapp.com/checkboxes"}
[23:07:21]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element"
[23:07:21]  DATA		{"using":"css selector","value":"#checkboxes input:first-Child"}
[23:07:21]  RESULT		{"element-6066-11e4-a52e-4f735466cecf":"50844aeb-f5a3-4e44-973e-5ba047f4f23b"}
[23:07:21]  COMMAND	GET 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element/50844aeb-f5a3-4e44-973e-5ba047f4f23b/selected"
[23:07:21]  DATA		{}
[23:07:21]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element"
[23:07:21]  DATA		{"using":"css selector","value":"#checkboxes input:last-Child"}
[23:07:21]  RESULT		{"element-6066-11e4-a52e-4f735466cecf":"10051a46-0116-4323-b893-5c45515e25cc"}
[23:07:21]  COMMAND	GET 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element/10051a46-0116-4323-b893-5c45515e25cc/selected"
[23:07:21]  DATA		{}
[23:07:21]  RESULT		true
[23:07:21]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/url"
[23:07:21]  DATA		{"url":"http://the-internet.herokuapp.com/checkboxes"}
[23:07:21]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element"
[23:07:21]  DATA		{"using":"css selector","value":"#checkboxes input:first-Child"}
[23:07:21]  RESULT		{"element-6066-11e4-a52e-4f735466cecf":"49f8e293-92ec-4e64-aad5-0bce20ff049f"}
[23:07:21]  COMMAND	GET 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element/49f8e293-92ec-4e64-aad5-0bce20ff049f/selected"
[23:07:21]  DATA		{}
[23:07:21]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element"
[23:07:21]  DATA		{"using":"css selector","value":"#checkboxes input:first-Child"}
[23:07:21]  RESULT		{"element-6066-11e4-a52e-4f735466cecf":"49f8e293-92ec-4e64-aad5-0bce20ff049f"}
[23:07:21]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element/49f8e293-92ec-4e64-aad5-0bce20ff049f/click"
[23:07:21]  DATA		{}
[23:07:21]  COMMAND	POST 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element"
[23:07:21]  DATA		{"using":"css selector","value":"#checkboxes input:first-Child"}
[23:07:21]  RESULT		{"element-6066-11e4-a52e-4f735466cecf":"49f8e293-92ec-4e64-aad5-0bce20ff049f"}
[23:07:21]  COMMAND	GET 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc/element/49f8e293-92ec-4e64-aad5-0bce20ff049f/selected"
[23:07:21]  DATA		{}
[23:07:21]  RESULT		true
[23:07:21]  COMMAND	DELETE 	 "/wd/hub/session/597b342c-5e1a-4dbe-8ce8-032cf9d5b8fc"
[23:07:21]  DATA		{}
